title,region,edition,xboxid,pubid,gameid,discid,regionid
Rally Fusion: Race of Champions,Europe,Original,AV00903E,AV,009,03,E
Rally Fusion: Race of Champions,Korea,Original,AV00904J,AV,009,04,J
Wreckless: The Yakuza Missions,USA,Original,AV01001A,AV,010,01,A
Mat Hoffman's Pro BMX 2,USA,Original,AV01101A,AV,011,01,A
Mat Hoffman's Pro BMX 2,Europe,Original,AV01102E,AV,011,02,E
Mat Hoffman's Pro BMX 2,France,Original,AV01103E,AV,011,03,E
Wreckless: The Yakuza Missions,Europe,Original,AV01201E,AV,012,01,E
Wreckless: The Yakuza Missions,Germany,Original,AV01202E,AV,012,02,E
Wreckless: Mission Yakusas,France,Original,AV01203E,AV,012,03,E
Wakeboarding Unleashed featuring Shaun Murray,Europe,Original,AV01301E,AV,013,01,E
Wakeboarding Unleashed featuring Shaun Murray,USA,Original,AV01302A,AV,013,02,A
Wakeboarding Unleashed featuring Shaun Murray,,,,AV,013,03,
Wakeboarding Unleashed featuring Shaun Murray,Japan,World Collection,AV01304J,AV,013,04,J
True Crime: Streets of LA,"USA, Asia",Original,AV01406K,AV,014,06,K
True Crime: Streets of LA,Europe,Original,AV01407E,AV,014,07,E
True Crime: Streets of LA,Europe,Original,AV01408E,AV,014,08,E
True Crime: Streets of LA,Japan,Original,AV01409J,AV,014,09,J
Star Wars: Obi-Wan,Europe,Original,AV01501E,AV,015,01,E
Return to Castle Wolfenstein: Tides of War,,,,AV,016,01,
Return to Castle Wolfenstein: Tides of War,"USA, Europe","Original, Classics, Platinum Hits",AV01602W,AV,016,02,W
,,,,AV,017,,
,,,,AV,018,,
,,,,AV,019,,
Minority Report: Everybody Runs,USA,Original,AV02001A,AV,020,01,A
Minority Report: Everybody Runs,,,,AV,020,02,
Minority Report: Le Futur vous Rattrape,France,Original,AV02003E,AV,020,03,E
Minority Report: Everybody Runs,Asia,Original,AV02004J,AV,020,04,J
Minority Report: Everybody Runs,,,,AV,020,05,
Minority Report: Everybody Runs,Europe,Original,AV02006E,AV,020,06,E
Minority Report: Everybody Runs,,,,AV,020,07,
Minority Report: Everybody Runs,Germany,Original,AV02008E,AV,020,08,E
Star Wars: Jedi Knight II: Jedi Outcast,Europe,Original,AV02104E,AV,021,04,E
Star Wars: Jedi Knight II: Jedi Outcast,Germany,Original,AV02105E,AV,021,05,E
,,,,AV,022,,
Tony Hawk's Pro Skater 4,USA,Platinum Hits,AV02301A,AV,023,01,A
Tony Hawk's Pro Skater 4,Europe,Original,AV02302E,AV,023,02,E
Tony Hawk's Pro Skater 4,France,Original,AV02303E,AV,023,03,E
Tony Hawk's Pro Skater 4,,,,AV,023,04,
Tony Hawk's Pro Skater 4,Germany,Original,AV02305E,AV,023,05,E
Pitfall: The Lost Expedition,USA,Original,AV02401A,AV,024,01,A
Pitfall: The Lost Expedition,Europe,Original,AV02402E,AV,024,02,E
Pitfall: The Lost Expedition,France,Original,AV02403E,AV,024,03,E
Pitfall: The Lost Expedition,Germany,Original,AV02404E,AV,024,04,E
Cabela's Dangerous Hunts,USA,Platinum Hits,AV02501A,AV,025,01,A
Cabela's Dangerous Hunts,,,,AV,025,02,
Cabela's Dangerous Hunts,Europe,Original,AV02503E,AV,025,03,E
Fantastic 4,"USA, Europe",Original,AV02601W,AV,026,01,W
Fantastic 4,Europe,Original,AV02602E,AV,026,02,E
Fantastic 4,Europe,Original,AV02603E,AV,026,03,E
I Fantastici 4,Italy,Original,AV02604E,AV,026,04,E
Soldier of Fortune II: Double Helix,USA,Original,AV02705W,AV,027,05,W
Soldier of Fortune II: Double Helix,Europe,Original,AV02706E,AV,027,06,E
,,,,AV,028,,
,,,,AV,029,,
X-Men Legends,Europe,Original,AV03001W,AV,030,01,W
X-Men Legends,Europe,Original,AV03002E,AV,030,02,E
Lemony Snicket's A Series of Unfortunate Events,USA,Original,AV03101A,AV,031,01,A
Lemony Snicket's A Series of Unfortunate Events,Europe,Original,AV03102E,AV,031,02,E
Les Désastreuses Aventures des Orphelins Baudelaire: D'Apres Lemony Snicket,France,Original,AV03103E,AV,031,03,E
Lemony Snicket: Rätselhafte Ereignisse,Germany,Original,AV03104E,AV,031,04,E
Una Serie de Catastróficas Desdichas de Lemony Snicket,Spain,Original,AV03105E,AV,031,05,E
Doom 3,Europe,Original,AV03202E,AV,032,02,E
Doom 3,USA,Limited Collector's Edition,AV03203W,AV,032,03,W
Doom 3,Europe,Limited Collector's Edition,AV03204E,AV,032,04,E
Doom 3,USA,Original,AV03205W,AV,032,05,W
,,,,AV,033,,
MTX Mototrax,USA,Original,AV03401K,AV,034,01,K
MTX Mototrax,Europe,Original,AV03402E,AV,034,02,E
,,,,AV,035,,
,,,,AV,036,,
,,,,AV,037,,
Tenchu: Return from Darkness,"USA, Asia",Original,AV03801K,AV,038,01,K
Disney's Extreme Skate Adventure,USA,Original,AV03901A,AV,039,01,A
Disney's Extreme Skate Adventure,Europe,Original,AV03902E,AV,039,02,E
Disney's Extreme Skate Adventure,Europe,Original,AV03903E,AV,039,03,E
,,,,AV,040,,
,,,,AV,041,,
Call of Duty: Finest Hour,"USA, Europe","Original, Platinum Hits",AV04201W,AV,042,01,W
Call of Duty: Finest Hour,Germany,Original,AV04202E,AV,042,02,E
Call of Duty: Finest Hour,Europe,Original,AV04203E,AV,042,03,E
Call of Duty: Finest Hour,Japan,Original,AV04204J,AV,042,04,J
Spider-Man 2,Italy,Classics,AV04303E,AV,043,03,E
Spider-Man 2,"Europe, Asia",Original,AV04304W,AV,043,04,W
